name,address,phone,email,website_present,website,cuisines,rating,reviews,pricing
Thea,"Chapel Road Bandra West, Mumbai",09845218600,thea.mumbai1@gmail.com,True,https://www.swiggy.com/restaurants/thea-bandra-west-andheri-west-mumbai-831030/dineout/,,,,
Foo,"Delphi Building Powai, Mumbai",08460565990,,False,,,,,
Fifty Five East (Grand Hyatt),"Off Western Express Highway Santacruz East, Mumbai",,sujasnameth@hyatt.com,True,https://www.swiggy.com/restaurants/fifty-five-east-grand-hyatt-santacruz-east-andheri-west-mumbai-604442,,,,
Loco Loca Bistro,"Sab TV Lane Andheri West, Mumbai",08511499358,fnb_empresa@adamohotels.com,True,https://foodinnrestaurant.com/order/food-inn-lokhandwala-complex-andheri-west-mumbai,,,,
Cafe Holiday,"Pali Hill-Bandra West, Mumbai",09972263960,,False,,,,,
East Asia - The Asian Fanfare,"Shimpoli Road Borivali West, Mumbai",,ronak@bdshospitalities.com,False,,,,,
Sushi And More,"Prabhadevi, Mumbai",,2012hpc@gmail.com,True,http://www.sushiandmore.com/,,,,
House Of Asia,"New Link Road Andheri East, Mumbai",,themiraor@themirador.com,False,,,,,
Amazonia,"Bandra Kurla Complex-Bandra East, Mumbai",07043487447,,True,https://www.swiggy.com/restaurants/amazonia-bandra-kurla-complex-andheri-west-mumbai-680177/dineout,,,,
Mizuki Marriott Executive Apartments,"Marriott Executive Apartments Sanpada, Navi Mumbai",,,True,https://www.zomato.com/mumbai/mizuki-marriott-executive-apartments-navi-mumbai-turbhe-navi-mumbai/order,,,,
Dimsum & More Restaurant,"Opp Meera Tower Oshiwara, Mumbai",,dimsumnmore@gmail.com,True,https://www.eazydiner.com/mumbai/dimsum-more-andheri-west-225015,,,,
Yazu Pan Asian Supper Club,"Oshiwara Link Rd Andheri West, Mumbai",08511499358,info@yazu.in,True,https://foodinnrestaurant.com/order/food-inn-lokhandwala-complex-andheri-west-mumbai,,,,
The Nines,"Devle Road Juhu, Mumbai",07043487447,,True,https://www.swiggy.com/restaurants/the-nines-juhu-andheri-west-mumbai-824057,,,,
Eve Cafe & Bar,"Hiranandani-Powai, Mumbai",09606243591,,False,,,,,
Koa Cafe And Bar,"Eastern Express Highway Thane West, Thane",07041850480,,True,https://www.zomato.com/mumbai/koa-cafe-bar-naupada-thane-west-thane/book,,,,
Citrus (The Leela Mumbai),"Sahar Airport Road Andheri East, Mumbai",,citrus.mumbai@theleela.com,False,,,,,
Lilt Bar Room & Eatery,"N.M. Joshi Marg Lower Parel, Mumbai",,mohit@labeltalents.com,True,https://www.zomato.com/mumbai/lilt-lower-parel/order,,,,
You Mee,"Seawoods, Navi Mumbai",09972300499,,True,https://www.zomato.com/mumbai/youmee-1-seawoods-navi-mumbai/book,,,,
Koko,"Senapati Bapat Road Lower Parel, Mumbai",,info@kokorestaurant.in,True,http://www.kokorestaurants.com/,,,,
Shizusan,"Senapati Bapat Marg Lower Parel, Mumbai",,shizusan.hsp@lpf.co.in,True,https://www.zomato.com/mumbai/shizusan-lower-parel/order,,,,
Asian Street Kitchen,"Chowpatty Road Girgaon Chowpatty, Mumbai",,hungrytablehospitality@gmail.com,True,https://www.zomato.com/mumbai/asian-street-kitchen-chowpatty/book,,,,
Eight (Phoenix Palladium Mall),"Senapati Bapat Marg Lower Parel, Mumbai",08460389446,,False,,,,,
Sesami,"Rodas Hotel Powai, Mumbai",09606243591,sesami.mumbai@gmail.com,False,,,,,
