name,batch,industry,location,website_present,website,detail_url,description,description_length,logo,video,team_size,founders,github,score
teaBOT,Summer 2015,"B2B, Human Resources","Toronto, ON",True,http://teaBOT.com,https://www.ycombinator.com/companies/teabot,A robot that makes tea!,23,https://bookface-images.s3.amazonaws.com/small_logos/505488f8533d6ad0f763f2073cd9f12607094ea9.png,,,,,6
Shasqi,Winter 2015,"Healthcare, Drug Discovery and Delivery","Shasqi San Francisco, CA",True,https://,https://www.ycombinator.com/companies/shasqi,Targeting Cancer with Click Chemistry,37,https://bookface-images.s3.amazonaws.com/small_logos/ffc67fc2138abb0d2b24dd42fa7b056c024ad80a.png,,,,,6
NimbleRx,Winter 2015,"Healthcare, Consumer Health and Wellness",NimbleRx,True,http://nimblerx.com,https://www.ycombinator.com/companies/nimblerx,On-demand prescription delivery.,32,https://bookface-images.s3.amazonaws.com/small_logos/3ef7a61ca3801604838ec463e1179fb823f2670c.png,,,,,6
Flip,Winter 2015,"Consumer, Apparel and Cosmetics","Flip Los Angeles, CA",True,http://justflip.com,https://www.ycombinator.com/companies/flip,Community-driven marketplace for sneakers.,42,https://bookface-images.s3.amazonaws.com/small_logos/2867a53daf101deac05cf2b659c168e70357e5ad.png,,,,,6
X-Zell,Winter 2015,"Healthcare, Diagnostics",Zell Singapore,True,http://www.x-zell.com,https://www.ycombinator.com/companies/x-zell,"Early, pain-free cancer detection.",34,https://bookface-images.s3.amazonaws.com/small_logos/3fafbc0fbed91c91e5664f3b665740b3a037febe.png,,,,,6
Zenflow,Winter 2015,"Healthcare, Medical Devices","Zenflow South San Francisco, CA",True,http://zenflow.com,https://www.ycombinator.com/companies/zenflow,"Medical device that provides a more effective, less invasive…",61,https://bookface-images.s3.amazonaws.com/small_logos/39dafe5a7c09ff15739f0bf0dfb5ef1902393913.png,,,,,6
Tab,Winter 2015,"Consumer, Travel, Leisure and Tourism",Tab London,True,https://www.tab.travel,https://www.ycombinator.com/companies/tab,"Revolutionising the way travellers discover, plan and book a trip",65,https://bookface-images.s3.amazonaws.com/small_logos/e8f02178e3ddf46bafbfb385e35e6ddbd748c98d.png,,,,,6
Streak,Summer 2011,"B2B, Sales",Streak Remote,True,http://streak.com,https://www.ycombinator.com/companies/streak,Streak transforms Gmail into a powerful CRM,43,https://bookface-images.s3.amazonaws.com/small_logos/34b83cec1f2ebdc9cb570890712a93e354509aec.png,,,,,6
Meadow,Winter 2015,"B2B, Retail","Meadow San Francisco, CA",True,https://getmeadow.com,https://www.ycombinator.com/companies/meadow,Point of Sale and Compliance SaaS for Cannabis Dispensaries,59,https://bookface-images.s3.amazonaws.com/small_logos/b0fa48b99116985657fd362e4dcb5948c48c050d.png,,,,,6
Level Frames,Winter 2015,"Consumer, Home and Personal",Level Frames NY,True,http://levelframes.com,https://www.ycombinator.com/companies/level-frames,Software eats custom framing,28,https://bookface-images.s3.amazonaws.com/small_logos/e83f0ec0fd8eb57c92eb2af88daaf9a5888aa9fa.png,,,,,6
Industrial Microbes,Winter 2015,"Healthcare, Industrial Bio","Industrial Microbes Alameda, CA",True,http://imicrobes.com,https://www.ycombinator.com/companies/industrial-microbes,We design and build microbes to make chemicals greener at lower cost.,69,https://bookface-images.s3.amazonaws.com/small_logos/2c3ae2e51b19cd9bcebdb9eca9dfe2161589c2e1.png,,,,,6
Giveffect,Winter 2015,"B2B, Finance and Accounting","Giveffect New York, NY",True,http://giveffect.com,https://www.ycombinator.com/companies/giveffect,"Fundraising, Volunteer and Donor Management SaaS for nonprofits.",64,https://bookface-images.s3.amazonaws.com/small_logos/d51c4927ae68d337b0287b118c889be90febd4b9.png,,,,,6
Cleanly,Winter 2015,"Consumer, Home and Personal","Cleanly New York, NY",True,https://cleanly.com,https://www.ycombinator.com/companies/cleanly,Laundry & Dry Cleaning delivered.,33,https://bookface-images.s3.amazonaws.com/small_logos/8349634f7984abbf72ed4977ed18128b2cd5d9ad.png,,,,,6
Resolve,Winter 2015,"Real Estate and Construction, Construction","Resolve New York, NY",True,https://www.resolvebim.com,https://www.ycombinator.com/companies/resolve,"Real-time BIM collaboration for fast, predictable construction",62,https://bookface-images.s3.amazonaws.com/small_logos/389299d1c66fa893f4b70f857d4c48593bc491c6.png,,,,,6
TeamNote,Winter 2015,"B2B, Productivity",TeamNote,True,http://teamnoteapp.com,https://www.ycombinator.com/companies/teamnote,Mobile Productivity(Slack for mobile workforces),48,https://bookface-images.s3.amazonaws.com/small_logos/5e80f24cb6eb0be2ffe43f35c7a912d2e48af9eb.png,,,,,6
Tempo,Winter 2015,"Healthcare, Consumer Health and Wellness","Tempo San Francisco, CA",True,https://tempo.fit/,https://www.ycombinator.com/companies/tempo,Live home fitness training powered by computer vision.,54,https://bookface-images.s3.amazonaws.com/small_logos/8d7bb4096474a73857a04dd3a797223c11e906d3.png,,,,,6
SIRUM,Winter 2015,Unspecified,"Palo Alto, CA",True,http://sirum.org,https://www.ycombinator.com/companies/sirum,SIRUM is a “match.com” for unused medicine. We connect institutional…,69,https://bookface-images.s3.amazonaws.com/small_logos/2eaff4c9574450ebd693897cc2604edad7f9b0ce.png,,,,,6
Sails Co.,Winter 2015,"B2B, Engineering, Product and Design",Sails Co,True,https://sailsjs.com/about,https://www.ycombinator.com/companies/sails-co,"Full-service web, mobile, & cloud studio providing professional…",64,https://bookface-images.s3.amazonaws.com/small_logos/065c8c25c94a5b7288159539b52e8719bf30381d.png,,,,,6
ReadMe,Winter 2015,"B2B, Engineering, Product and Design",ReadMe,True,http://readme.com,https://www.ycombinator.com/companies/readme,"Beautiful, personalized, interactive developer hubs",51,https://bookface-images.s3.amazonaws.com/small_logos/5a8bd3afbbc73a7d4c44e873cf178a675ddaa19d.png,,,,,6
BuildScience,Winter 2015,"Real Estate and Construction, Housing and Real Estate",BuildScience,True,http://www.buildscience.com/,https://www.ycombinator.com/companies/buildscience,The operating system for commercial buildings.,46,https://bookface-images.s3.amazonaws.com/small_logos/ea5b7ba5bf28f127304f4edff2198d051dc6e72f.png,,,,,6
Labdoor,Winter 2015,"Consumer, Food and Beverage","Labdoor San Francisco, CA",True,https://labdoor.com,https://www.ycombinator.com/companies/labdoor,Labdoor is building the trusted online drugstore.,49,https://bookface-images.s3.amazonaws.com/small_logos/3e41808a31c6cfaae68fee514481c62f71308c71.png,,,,,6
GiveMeTap,Winter 2015,"Consumer, Home and Personal","London, England",True,http://givemetap.com,https://www.ycombinator.com/companies/givemetap,We produce & sell stainless steel water bottles that enables people…,68,https://bookface-images.s3.amazonaws.com/small_logos/e12f171a4ea3c40c73ef3e8b77453a6deaec1f6e.png,,,,,6
Bankjoy,Winter 2015,"Fintech, Banking and Exchange","Bankjoy Troy, MI",True,http://bankjoy.com,https://www.ycombinator.com/companies/bankjoy,An end-to-end digital banking solution for banks and credit unions,66,https://bookface-images.s3.amazonaws.com/small_logos/134b12b221534d10b8b6f4ff8ae5da4a440320ad.png,,,,,6
Numerion Labs,Winter 2015,"Healthcare, Drug Discovery and Delivery","Numerion Labs San Francisco, CA",True,https://www.numerionlabs.ai,https://www.ycombinator.com/companies/numerion-labs,Artificial intelligence for drug discovery.,43,https://bookface-images.s3.amazonaws.com/small_logos/c3b218096497a702becc32895ca1b21c4cae78bd.png,,,,,6
Bright,Winter 2015,"Industrials, Energy",Bright Mexico,True,https://www.thinkbright.mx,https://www.ycombinator.com/companies/bright,Sunrun for the developing world,31,https://bookface-images.s3.amazonaws.com/small_logos/4f860d42183017f025fa2a44238b098217f8b456.png,,,,,6
Magic,Winter 2015,B2B,"Magic Washington, DC",True,https://getmagic.com/,https://www.ycombinator.com/companies/magic,Extremely talented assistants for busy people,45,https://bookface-images.s3.amazonaws.com/small_logos/776561775e16de7555470b2a89bb97649da650c3.png,,,,,6
Mezmo,Winter 2015,"B2B, Infrastructure","Mezmo San Jose, CA",True,https://www.mezmo.com/,https://www.ycombinator.com/companies/mezmo,Observability platform to control all of your log data,54,https://bookface-images.s3.amazonaws.com/small_logos/f3a71ea034c7bfc9aef393b47b27829a3413f0b3.png,,,,,6
Akido Labs,Winter 2015,"Healthcare, Healthcare IT","Akido Labs Los Angeles, CA",True,http://akidolabs.com,https://www.ycombinator.com/companies/akido-labs,Rebuilding healthcare with AI at the core,41,https://bookface-images.s3.amazonaws.com/small_logos/c312db8ea593be844305acc22a48eb2b87c24264.png,,,,,6
Qventus,Winter 2015,"Healthcare, Healthcare IT","Qventus San Francisco, CA",True,http://qventus.com,https://www.ycombinator.com/companies/qventus,We automate operations for hospitals and health systems,55,https://bookface-images.s3.amazonaws.com/small_logos/237429c2d0d453b8fc4d2eb5cfc27be2c538634a.png,,,,,6
Helion Energy,Summer 2014,"Industrials, Energy","Helion Energy Everett, WA",True,http://helionenergy.com,https://www.ycombinator.com/companies/helion-energy,Building the world's first fusion power plant,45,https://bookface-images.s3.amazonaws.com/small_logos/b5119e7d1a685052ca06d144fde031fb2c13baf4.png,,,,,6
